Sex,Age,Port of Embarkation,Survived
Female,18.0,Southampton,No
Male,24.0,Southampton,No
Male,35.0,Southampton,No
Male,5.0,Southampton,No
Male,9.0,Southampton,No
Male,3.0,Southampton,Yes
Male,13.0,Southampton,No
Female,5.0,Southampton,Yes
Male,40.0,Southampton,No
Male,23.0,Southampton,Yes
Female,38.0,Southampton,Yes
Female,45.0,Cherbourg,Yes
Male,21.0,Cherbourg,No
Male,23.0,Southampton,No
Female,17.0,Cherbourg,No
Male,30.0,Cherbourg,No
Male,23.0,Southampton,No
Female,13.0,Cherbourg,Yes
Male,20.0,Cherbourg,No
Male,32.0,Southampton,No
Female,33.0,Southampton,Yes
Female,0.8,Cherbourg,Yes
Female,0.8,Cherbourg,Yes
Female,5.0,Cherbourg,Yes
Female,24.0,Cherbourg,Yes
Female,18.0,Southampton,Yes
Male,40.0,Cherbourg,No
Male,26.0,Southampton,No
Male,20.0,Cherbourg,Yes
Female,18.0,Cherbourg,No
Female,45.0,Cherbourg,No
Female,27.0,Queenstown,No
Male,22.0,Southampton,No
Male,19.0,Southampton,No
Male,26.0,Southampton,No
Male,22.0,Southampton,No
Male,,Cherbourg,No
Male,20.0,Cherbourg,No
Male,32.0,Southampton,Yes
Male,21.0,Southampton,No
Male,18.0,Southampton,No
Male,26.0,Southampton,No
Male,6.0,Cherbourg,No
Female,9.0,Cherbourg,No
Male,,Cherbourg,No
Female,,Cherbourg,No
Female,,Queenstown,No
Male,40.0,Queenstown,No
Female,32.0,Queenstown,No
Male,21.0,Southampton,No
Female,22.0,Queenstown,Yes
Female,20.0,Southampton,No
Male,29.0,Southampton,No
Male,22.0,Southampton,No
Male,22.0,Southampton,No
Male,35.0,Southampton,No
Female,18.5,Queenstown,No
Male,21.0,Queenstown,Yes
Male,19.0,Queenstown,No
Female,18.0,Queenstown,No
Female,21.0,Southampton,No
Female,30.0,Southampton,No
Male,18.0,Southampton,No
Male,38.0,Southampton,No
Male,17.0,Southampton,No
Male,17.0,Southampton,No
Female,21.0,Queenstown,No
Male,21.0,Queenstown,No
Male,21.0,Southampton,No
Male,,Cherbourg,No
Female,,Cherbourg,No
Male,28.0,Southampton,No
Male,24.0,Southampton,No
Female,16.0,Queenstown,Yes
Female,37.0,Queenstown,No
Male,28.0,Southampton,No
Male,24.0,Southampton,No
Male,21.0,Queenstown,No
Male,32.0,Southampton,Yes
Male,29.0,Southampton,No
Male,26.0,Cherbourg,No
Male,18.0,Cherbourg,No
Male,20.0,Southampton,No
Male,18.0,Southampton,Yes
Male,24.0,Queenstown,No
Male,36.0,Southampton,No
Male,24.0,Southampton,No
Male,31.0,Queenstown,No
Male,31.0,Queenstown,No
Female,22.0,Queenstown,Yes
Female,30.0,Queenstown,No
Male,70.5,Queenstown,No
Male,43.0,Southampton,No
Male,35.0,Southampton,No
Male,27.0,Southampton,No
Male,19.0,Southampton,No
Male,30.0,Southampton,No
Male,9.0,Southampton,Yes
Male,3.0,Southampton,Yes
Female,36.0,Southampton,Yes
Male,59.0,Southampton,No
Male,19.0,Southampton,No
Female,17.0,Southampton,Yes
Male,44.0,Southampton,No
Male,17.0,Southampton,No
Male,22.5,Cherbourg,No
Male,45.0,Southampton,Yes
Female,22.0,Southampton,No
Male,19.0,Southampton,No
Female,30.0,Queenstown,Yes
Male,29.0,Queenstown,Yes
Male,0.3,Southampton,No
Male,34.0,Southampton,No
Female,28.0,Southampton,No
Male,27.0,Southampton,No
Male,25.0,Southampton,No
Male,24.0,Southampton,No
Male,22.0,Southampton,No
Male,21.0,Southampton,No
Male,17.0,Southampton,No
Male,,Southampton,No
Female,,Southampton,Yes
Male,36.5,Southampton,Yes
Female,36.0,Southampton,Yes
Male,30.0,Southampton,Yes
Male,16.0,Southampton,No
Male,1.0,Southampton,Yes
Female,0.2,Southampton,Yes
Male,26.0,Southampton,No
Female,33.0,Southampton,Yes
Male,25.0,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,22.0,Southampton,No
Male,36.0,Southampton,No
Female,19.0,Queenstown,Yes
Male,17.0,Southampton,No
Male,42.0,Southampton,No
Male,43.0,Southampton,No
Male,,Cherbourg,No
Male,32.0,Queenstown,No
Male,19.0,Southampton,Yes
Female,30.0,Southampton,Yes
Female,24.0,Queenstown,No
Female,23.0,Southampton,Yes
Male,33.0,Cherbourg,No
Male,65.0,Queenstown,No
Male,24.0,Southampton,Yes
Male,23.0,Southampton,No
Female,22.0,Southampton,Yes
Male,18.0,Southampton,No
Male,16.0,Southampton,No
Male,45.0,Southampton,No
Male,,Cherbourg,No
Male,39.0,Cherbourg,No
Male,17.0,Cherbourg,No
Male,15.0,Cherbourg,No
Male,47.0,Southampton,No
Female,5.0,Southampton,Yes
Male,,Cherbourg,No
Male,40.5,Southampton,No
Male,40.5,Queenstown,No
Male,,Southampton,Yes
Male,18.0,Southampton,No
Female,,Queenstown,No
Male,,Queenstown,No
Male,,Queenstown,No
Male,26.0,Queenstown,No
Male,,Queenstown,No
Male,,Southampton,Yes
Female,21.0,Southampton,No
Female,9.0,Southampton,No
Male,,Southampton,No
Male,18.0,Southampton,No
Male,16.0,Southampton,No
Female,48.0,Southampton,No
Male,,Queenstown,No
Male,,Southampton,No
Male,25.0,Queenstown,No
Male,,Southampton,No
Male,,Cherbourg,No
Male,22.0,Southampton,No
Female,16.0,Queenstown,Yes
Female,,Queenstown,Yes
Male,9.0,Southampton,Yes
Male,33.0,Southampton,No
Male,41.0,Southampton,No
Female,31.0,Southampton,Yes
Male,38.0,Southampton,No
Male,9.0,Southampton,No
Male,1.0,Southampton,No
Male,11.0,Southampton,No
Female,10.0,Southampton,No
Female,16.0,Southampton,No
Male,14.0,Southampton,No
Male,40.0,Southampton,No
Female,43.0,Southampton,No
Male,51.0,Southampton,No
Male,32.0,Southampton,No
Male,,Southampton,No
Male,20.0,Southampton,No
Male,37.0,Southampton,No
Male,28.0,Southampton,No
Male,19.0,Southampton,No
Female,24.0,Southampton,No
Female,17.0,Queenstown,No
Male,,Southampton,No
Male,,Southampton,No
Male,28.0,Southampton,No
Female,24.0,Southampton,Yes
Male,20.0,Southampton,No
Male,23.5,Cherbourg,No
Male,41.0,Southampton,No
Male,26.0,Southampton,No
Male,21.0,Southampton,No
Female,45.0,Southampton,Yes
Female,,Southampton,No
Male,25.0,Southampton,No
Male,,Queenstown,No
Male,11.0,Cherbourg,No
Female,,Queenstown,Yes
Male,27.0,Southampton,Yes
Male,,Southampton,Yes
Female,18.0,Queenstown,No
Female,26.0,Southampton,Yes
Female,23.0,Southampton,No
Female,22.0,Southampton,Yes
Male,28.0,Southampton,No
Female,28.0,Southampton,No
Female,,Queenstown,No
Female,2.0,Southampton,Yes
Female,22.0,Southampton,Yes
Male,43.0,Southampton,No
Male,28.0,Southampton,No
Female,27.0,Southampton,Yes
Male,,Queenstown,No
Female,,Southampton,Yes
Male,42.0,Southampton,No
Male,,Southampton,Yes
Male,30.0,Cherbourg,No
Male,,Southampton,No
Female,27.0,Southampton,No
Female,25.0,Southampton,No
Male,,Southampton,No
Male,29.0,Cherbourg,Yes
Male,21.0,Southampton,Yes
Male,,Southampton,No
Male,20.0,Southampton,No
Male,48.0,Southampton,No
Male,17.0,Southampton,No
Female,,Queenstown,Yes
Male,,Southampton,Yes
Male,34.0,Southampton,No
Male,26.0,Southampton,Yes
Male,22.0,Southampton,No
Male,33.0,Southampton,No
Male,31.0,Southampton,No
Male,29.0,Southampton,No
Male,4.0,Southampton,Yes
Female,1.0,Southampton,Yes
Male,49.0,Southampton,No
Male,33.0,Southampton,No
Male,19.0,Southampton,No
Female,27.0,Southampton,Yes
Male,,Southampton,No
Female,,Southampton,No
Male,,Southampton,No
Female,,Southampton,No
Male,23.0,Southampton,No
Male,32.0,Southampton,Yes
Male,27.0,Southampton,No
Female,20.0,Southampton,No
Female,21.0,Southampton,No
Male,32.0,Southampton,Yes
Male,17.0,Southampton,No
Male,21.0,Southampton,No
Male,30.0,Southampton,No
Male,21.0,Southampton,Yes
Male,33.0,Southampton,No
Male,22.0,Southampton,No
Female,4.0,Cherbourg,Yes
Male,39.0,Cherbourg,Yes
Male,,Cherbourg,No
Male,18.5,Cherbourg,No
Male,,Queenstown,No
Male,,Southampton,No
Female,,Queenstown,Yes
Female,,Queenstown,Yes
Male,34.5,Queenstown,No
Male,44.0,Southampton,No
Male,,Queenstown,Yes
Male,,Cherbourg,No
Female,,Cherbourg,No
Male,,Queenstown,No
Male,,Queenstown,No
Male,,Queenstown,No
Female,22.0,Southampton,No
Male,26.0,Southampton,No
Female,4.0,Southampton,Yes
Male,29.0,Southampton,Yes
Female,26.0,Southampton,Yes
Female,1.0,Southampton,No
Male,18.0,Southampton,No
Female,36.0,Southampton,No
Male,,Cherbourg,No
Male,25.0,Cherbourg,Yes
Male,,Cherbourg,No
Female,37.0,Southampton,No
Male,,Southampton,No
Male,,Southampton,Yes
Male,,Southampton,No
Female,22.0,Southampton,Yes
Male,,Queenstown,No
Male,26.0,Southampton,Yes
Male,29.0,Southampton,No
Male,29.0,Southampton,No
Male,22.0,Southampton,No
Male,22.0,Cherbourg,Yes
Male,,Southampton,No
Female,,Southampton,No
Female,,Southampton,No
Female,,Southampton,No
Female,,Southampton,No
Male,32.0,Southampton,No
Male,34.5,Cherbourg,No
Female,,Queenstown,No
Male,,Queenstown,No
Male,36.0,Southampton,No
Male,39.0,Southampton,No
Male,24.0,Southampton,No
Female,25.0,Southampton,No
Female,45.0,Southampton,No
Male,36.0,Southampton,No
Female,30.0,Southampton,No
Male,20.0,Southampton,Yes
Male,,Queenstown,No
Male,28.0,Southampton,No
Male,,Southampton,No
Male,30.0,Southampton,No
Female,26.0,Southampton,No
Male,,Southampton,No
Male,20.5,Southampton,No
Male,27.0,Southampton,Yes
Male,51.0,Southampton,No
Female,23.0,Southampton,Yes
Male,32.0,Southampton,Yes
Male,,Southampton,No
Male,,Southampton,No
Female,,Queenstown,Yes
Male,24.0,Southampton,Yes
Male,22.0,Southampton,No
Female,,Queenstown,No
Male,,Queenstown,No
Male,,Southampton,No
Male,29.0,Southampton,No
Male,,Cherbourg,Yes
Female,30.5,Queenstown,No
Female,,Queenstown,Yes
Male,,Cherbourg,No
Male,35.0,Cherbourg,No
Male,33.0,Southampton,No
Female,,Cherbourg,Yes
Male,,Cherbourg,No
Female,,Queenstown,Yes
Male,,Queenstown,Yes
Female,,Queenstown,Yes
Female,,Queenstown,Yes
Male,,Queenstown,Yes
Female,,Queenstown,Yes
Male,,Queenstown,No
Female,,Queenstown,Yes
Female,15.0,Queenstown,Yes
Female,35.0,Queenstown,No
Male,,Queenstown,No
Male,24.0,Southampton,No
Female,19.0,Southampton,No
Female,,Queenstown,No
Female,,Southampton,No
Female,,Southampton,No
Male,55.5,Southampton,No
Male,,Queenstown,No
Male,21.0,Southampton,Yes
Male,,Southampton,No
Male,24.0,Southampton,No
Male,21.0,Southampton,No
Male,28.0,Southampton,No
Male,,Southampton,No
Female,,Queenstown,Yes
Male,25.0,Southampton,No
Male,6.0,Southampton,Yes
Female,27.0,Southampton,Yes
Male,,Southampton,No
Female,,Queenstown,Yes
Male,,Queenstown,No
Male,,Queenstown,No
Male,34.0,Southampton,No
Male,,Queenstown,No
Male,,Southampton,Yes
Male,,Cherbourg,Yes
Male,,Cherbourg,Yes
Female,,Cherbourg,Yes
Female,,Cherbourg,Yes
Male,,Southampton,No
Female,,Queenstown,Yes
Female,24.0,Queenstown,Yes
Male,,Southampton,No
Female,,Queenstown,Yes
Female,,Queenstown,Yes
Female,,Queenstown,Yes
Male,18.0,Southampton,No
Male,22.0,Southampton,No
Female,15.0,Cherbourg,Yes
Female,1.0,Cherbourg,Yes
Male,20.0,Cherbourg,Yes
Female,19.0,Cherbourg,Yes
Male,33.0,Southampton,No
Male,,Southampton,No
Male,,Cherbourg,No
Female,,Queenstown,No
Male,,Southampton,No
Male,12.0,Cherbourg,Yes
Female,14.0,Cherbourg,Yes
Female,29.0,Southampton,No
Male,28.0,Southampton,No
Female,18.0,Southampton,Yes
Female,26.0,Southampton,Yes
Male,21.0,Southampton,No
Male,41.0,Southampton,No
Male,39.0,Southampton,Yes
Male,21.0,Southampton,No
Male,28.5,Cherbourg,No
Female,22.0,Southampton,Yes
Male,61.0,Southampton,No
Male,,Queenstown,No
Male,,Queenstown,No
Female,,Queenstown,Yes
Male,,Queenstown,No
Male,,Queenstown,No
Male,,Queenstown,No
Male,23.0,Southampton,No
Female,,Queenstown,No
Female,,Queenstown,Yes
Female,,Queenstown,Yes
Female,22.0,Southampton,Yes
Male,,Queenstown,Yes
Female,,Queenstown,Yes
Male,9.0,Southampton,Yes
Male,28.0,Southampton,No
Male,42.0,Southampton,No
Male,,Southampton,No
Female,31.0,Southampton,No
Male,28.0,Southampton,No
Male,32.0,Southampton,Yes
Male,20.0,Southampton,No
Female,23.0,Southampton,No
Female,20.0,Southampton,No
Male,20.0,Southampton,No
Male,16.0,Southampton,No
Female,31.0,Southampton,Yes
Female,,Queenstown,No
Male,2.0,Southampton,No
Male,6.0,Southampton,No
Female,3.0,Southampton,No
Female,8.0,Southampton,No
Female,29.0,Southampton,No
Male,1.0,Southampton,No
Male,7.0,Southampton,No
Male,2.0,Southampton,No
Male,16.0,Southampton,No
Male,14.0,Southampton,No
Female,41.0,Southampton,No
Male,21.0,Southampton,No
Male,19.0,Southampton,No
Male,,Cherbourg,No
Male,32.0,Southampton,No
Male,0.8,Southampton,No
Female,3.0,Southampton,No
Female,26.0,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,21.0,Southampton,No
Male,25.0,Southampton,No
Male,22.0,Southampton,No
Male,25.0,Southampton,Yes
Male,,Cherbourg,Yes
Female,,Cherbourg,Yes
Female,,Cherbourg,Yes
Female,,Queenstown,No
Male,24.0,Southampton,No
Female,28.0,Southampton,No
Male,19.0,Southampton,No
Male,,Southampton,No
Male,25.0,Southampton,No
Female,18.0,Southampton,No
Male,32.0,Southampton,Yes
Male,,Southampton,No
Male,17.0,Southampton,No
Male,24.0,Southampton,No
Male,,Southampton,No
Female,,Southampton,No
Male,,Cherbourg,No
Male,,Southampton,No
Male,38.0,Southampton,No
Male,21.0,Southampton,No
Male,10.0,Queenstown,No
Male,4.0,Queenstown,No
Male,7.0,Queenstown,No
Male,2.0,Queenstown,No
Male,8.0,Queenstown,No
Female,39.0,Queenstown,No
Female,22.0,Southampton,No
Male,35.0,Southampton,No
Female,,Queenstown,Yes
Male,,Southampton,No
Female,,Southampton,No
Male,50.0,Southampton,No
Female,47.0,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Female,2.0,Southampton,No
Male,18.0,Southampton,No
Female,41.0,Southampton,No
Female,,Southampton,Yes
Male,50.0,Southampton,No
Male,16.0,Southampton,No
Male,,Queenstown,Yes
Male,,Queenstown,No
Male,,Cherbourg,No
Male,25.0,Cherbourg,No
Male,,Cherbourg,No
Male,,Queenstown,No
Male,,Southampton,No
Male,38.5,Southampton,No
Male,,Southampton,No
Male,14.5,Southampton,No
Female,,Southampton,No
Female,,Southampton,No
Female,,Southampton,No
Female,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Female,,Southampton,No
Male,24.0,Southampton,No
Female,21.0,Southampton,Yes
Male,39.0,Southampton,No
Male,,Cherbourg,No
Male,,Cherbourg,No
Male,,Cherbourg,No
Female,1.0,Southampton,Yes
Female,24.0,Southampton,Yes
Female,4.0,Southampton,Yes
Male,25.0,Southampton,Yes
Male,20.0,Southampton,No
Male,24.5,Southampton,No
Male,,Queenstown,No
Male,,Southampton,No
Male,,Queenstown,No
Male,29.0,Southampton,Yes
Male,,Southampton,No
Female,,Queenstown,Yes
Male,,Southampton,No
Male,,Southampton,No
Male,22.0,Cherbourg,No
Male,,Southampton,No
Male,40.0,Southampton,No
Male,21.0,Southampton,No
Female,18.0,Southampton,Yes
Male,4.0,Southampton,No
Male,10.0,Southampton,No
Female,9.0,Southampton,No
Female,2.0,Southampton,No
Male,40.0,Southampton,No
Female,45.0,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,,Queenstown,No
Female,,Queenstown,Yes
Male,19.0,Southampton,No
Male,30.0,Southampton,No
Male,,Southampton,No
Male,32.0,Southampton,No
Male,,Southampton,No
Male,33.0,Cherbourg,No
Female,23.0,Southampton,Yes
Male,21.0,Southampton,No
Male,60.5,Southampton,No
Male,19.0,Southampton,No
Female,22.0,Southampton,No
Male,31.0,Southampton,Yes
Male,27.0,Southampton,No
Female,2.0,Southampton,No
Female,29.0,Southampton,No
Male,16.0,Southampton,Yes
Male,44.0,Southampton,Yes
Male,25.0,Southampton,No
Male,74.0,Southampton,No
Male,14.0,Southampton,Yes
Male,24.0,Southampton,No
Male,25.0,Southampton,Yes
Male,34.0,Southampton,No
Male,0.4,Cherbourg,Yes
Male,,Cherbourg,No
Male,,Cherbourg,No
Male,,Cherbourg,No
Female,16.0,Cherbourg,Yes
Male,,Southampton,No
Male,,Southampton,No
Female,,Southampton,Yes
Male,32.0,Southampton,No
Male,,Queenstown,No
Male,,Southampton,No
Male,30.5,Southampton,No
Male,44.0,Southampton,No
Male,,Cherbourg,No
Male,25.0,Southampton,Yes
Male,,Cherbourg,No
Male,7.0,Cherbourg,Yes
Female,9.0,Cherbourg,Yes
Female,29.0,Cherbourg,Yes
Male,36.0,Southampton,No
Female,18.0,Southampton,Yes
Female,63.0,Southampton,Yes
Male,,Southampton,No
Male,11.5,Southampton,No
Male,40.5,Southampton,No
Female,10.0,Southampton,No
Male,36.0,Southampton,No
Female,30.0,Southampton,No
Male,,Southampton,No
Male,33.0,Southampton,No
Male,28.0,Southampton,No
Male,28.0,Southampton,No
Male,47.0,Southampton,No
Female,18.0,Southampton,No
Male,31.0,Southampton,No
Male,16.0,Southampton,No
Female,31.0,Southampton,No
Male,22.0,Cherbourg,Yes
Male,20.0,Southampton,No
Female,14.0,Southampton,No
Male,22.0,Southampton,No
Male,22.0,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,32.5,Southampton,No
Female,38.0,Cherbourg,Yes
Male,51.0,Southampton,No
Male,18.0,Southampton,No
Male,21.0,Southampton,No
Female,47.0,Southampton,Yes
Male,,Southampton,No
Male,,Southampton,No
Male,,Southampton,No
Male,28.5,Southampton,No
Male,21.0,Southampton,No
Male,27.0,Southampton,No
Male,,Southampton,No
Male,36.0,Southampton,No
Male,27.0,Cherbourg,No
Female,15.0,Cherbourg,Yes
Male,45.5,Cherbourg,No
Male,,Cherbourg,No
Male,,Cherbourg,No
Female,14.5,Cherbourg,No
Female,,Cherbourg,No
Male,26.5,Cherbourg,No
Male,27.0,Cherbourg,No
Male,29.0,Southampton,No
